Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	375	60	02/24/25 11:12:28 AM	
2	900	372	60	02/24/25 11:13:28 AM	
3	900	65	60	02/24/25 11:14:56 AM	
4	900	56	60	02/24/25 11:15:56 AM	
5	900	60	60	02/24/25 11:17:19 AM	
6	900	59	60	02/24/25 11:18:19 AM	
7	900	58	60	02/24/25 11:20:25 AM	
8	900	52	60	02/24/25 11:21:25 AM	
9	900	59	60	02/24/25 11:23:02 AM	
10	900	66	60	02/24/25 11:24:03 AM	
11	900	64	60	02/24/25 11:25:59 AM	
12	900	86	60	02/24/25 11:27:00 AM	
13	900	66	60	02/24/25 11:29:25 AM	
14	900	62	60	02/24/25 11:30:25 AM	
15	900	54	60	02/24/25 11:32:20 AM	
16	900	68	60	02/24/25 11:33:21 AM	
17	900	59	60	02/24/25 11:34:50 AM	
18	900	71	60	02/24/25 11:35:50 AM	
19	900	47	60	02/24/25 11:37:44 AM	
20	900	57	60	02/24/25 11:38:44 AM	
21	900	46	60	02/24/25 11:41:06 AM	
22	900	57	60	02/24/25 11:42:07 AM	
23	900	69	60	02/24/25 11:44:45 AM	
24	900	77	60	02/24/25 11:45:45 AM	
25	900	59	60	02/24/25 11:47:48 AM	
26	900	62	60	02/24/25 11:48:49 AM	
27	900	60	60	02/24/25 11:50:54 AM	
28	900	55	60	02/24/25 11:51:55 AM	
29	900	48	60	02/24/25 11:53:53 AM	
30	900	60	60	02/24/25 11:54:53 AM	
