Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	65	60	02/24/25 10:14:03 AM	
2	900	65	60	02/24/25 10:15:04 AM	
3	900	73	60	02/24/25 10:16:53 AM	
4	900	61	60	02/24/25 10:17:54 AM	
5	900	72	60	02/24/25 10:19:13 AM	
6	900	62	60	02/24/25 10:20:13 AM	
7	900	62	60	02/24/25 10:21:40 AM	
8	900	53	60	02/24/25 10:22:40 AM	
9	900	50	60	02/24/25 10:24:22 AM	
10	900	66	60	02/24/25 10:25:22 AM	
11	900	60	60	02/24/25 10:26:49 AM	
12	900	55	60	02/24/25 10:27:49 AM	
13	900	48	60	02/24/25 10:30:08 AM	
14	900	52	60	02/24/25 10:31:08 AM	
15	900	61	60	02/24/25 10:33:35 AM	
16	900	60	60	02/24/25 10:34:36 AM	
17	900	58	60	02/24/25 10:36:09 AM	
18	900	66	60	02/24/25 10:37:09 AM	
19	900	60	60	02/24/25 10:38:57 AM	
20	900	50	60	02/24/25 10:39:57 AM	
21	900	80	60	02/24/25 10:41:32 AM	
22	900	63	60	02/24/25 10:42:33 AM	
23	900	52	60	02/24/25 10:43:53 AM	
24	900	57	60	02/24/25 10:44:54 AM	
25	900	56	60	02/24/25 10:46:17 AM	
26	900	59	60	02/24/25 10:47:18 AM	
27	900	72	60	02/24/25 10:48:57 AM	
28	900	52	60	02/24/25 10:49:57 AM	
29	900	56	60	02/24/25 10:51:16 AM	
30	900	47	60	02/24/25 10:52:16 AM	
31	900	62	60	02/24/25 10:53:36 AM	
32	900	59	60	02/24/25 10:54:37 AM	
33	900	62	60	02/24/25 10:56:08 AM	
34	900	53	60	02/24/25 10:57:09 AM	
35	900	82	60	02/24/25 10:59:07 AM	
36	900	63	60	02/24/25 11:00:08 AM	
37	900	66	60	02/24/25 11:01:48 AM	
38	900	54	60	02/24/25 11:02:48 AM	
39	900	70	60	02/24/25 11:04:45 AM	
40	900	72	60	02/24/25 11:05:46 AM	
41	900	67	60	02/24/25 11:07:07 AM	
42	900	62	60	02/24/25 11:08:07 AM	
43	900	61	60	02/24/25 11:09:27 AM	
44	900	72	60	02/24/25 11:10:28 AM	
