Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	1431	60	02/24/25 10:50:47 AM	
2	900	1375	60	02/24/25 10:51:47 AM	
3	900	883	60	02/24/25 10:53:04 AM	
4	900	921	60	02/24/25 10:54:04 AM	
5	900	640	60	02/24/25 10:55:19 AM	
6	900	664	60	02/24/25 10:56:20 AM	
7	900	503	60	02/24/25 10:58:11 AM	
8	900	492	60	02/24/25 10:59:11 AM	
9	900	387	60	02/24/25 11:00:22 AM	
10	900	349	60	02/24/25 11:01:22 AM	
11	900	306	60	02/24/25 11:03:10 AM	
12	900	327	60	02/24/25 11:04:10 AM	
13	900	253	60	02/24/25 11:05:48 AM	
14	900	265	60	02/24/25 11:06:49 AM	
15	900	232	60	02/24/25 11:08:38 AM	
16	900	207	60	02/24/25 11:09:38 AM	
17	900	174	60	02/24/25 11:11:03 AM	
18	900	181	60	02/24/25 11:12:04 AM	
