Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	496	60	02/24/25 09:50:56 AM	
2	900	505	60	02/24/25 09:51:57 AM	
3	900	524	60	02/24/25 09:53:23 AM	
4	900	503	60	02/24/25 09:54:24 AM	
5	900	649	60	02/24/25 09:56:59 AM	
6	900	548	60	02/24/25 09:57:59 AM	
7	900	620	60	02/24/25 10:01:58 AM	
8	900	631	60	02/24/25 10:02:59 AM	
9	900	603	60	02/24/25 10:04:23 AM	
10	900	571	60	02/24/25 10:05:24 AM	
11	900	609	60	02/24/25 10:07:50 AM	
12	900	617	60	02/24/25 10:08:50 AM	
13	900	648	60	02/24/25 10:10:27 AM	
14	900	633	60	02/24/25 10:11:27 AM	
15	900	623	60	02/24/25 10:13:07 AM	
16	900	604	60	02/24/25 10:14:08 AM	
17	900	644	60	02/24/25 10:15:36 AM	
18	900	654	60	02/24/25 10:16:36 AM	
19	900	666	60	02/24/25 10:18:29 AM	
20	900	632	60	02/24/25 10:19:30 AM	
21	900	703	60	02/24/25 10:21:02 AM	
22	900	660	60	02/24/25 10:22:03 AM	
23	900	659	60	02/24/25 10:24:05 AM	
24	900	702	60	02/24/25 10:25:06 AM	
25	900	725	60	02/24/25 10:26:56 AM	
26	900	729	60	02/24/25 10:27:57 AM	
27	900	745	60	02/24/25 10:29:25 AM	
28	900	709	60	02/24/25 10:30:26 AM	
29	900	826	60	02/24/25 10:32:06 AM	
30	900	809	60	02/24/25 10:33:07 AM	
31	900	811	60	02/24/25 10:34:26 AM	
32	900	740	60	02/24/25 10:35:27 AM	
33	900	877	60	02/24/25 10:36:53 AM	
34	900	905	60	02/24/25 10:37:54 AM	
35	900	867	60	02/24/25 10:39:34 AM	
36	900	911	60	02/24/25 10:40:35 AM	
37	900	868	60	02/24/25 10:42:05 AM	
38	900	868	60	02/24/25 10:43:06 AM	
39	900	919	60	02/24/25 10:44:51 AM	
40	900	914	60	02/24/25 10:45:52 AM	
