Description	
Number of Runs	26
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	630	30	02/19/25 10:28:58 AM	
2	720	645	30	02/19/25 10:29:28 AM	
3	740	663	30	02/19/25 10:29:59 AM	
4	760	611	30	02/19/25 10:30:29 AM	
5	780	656	30	02/19/25 10:30:59 AM	
6	800	687	30	02/19/25 10:31:30 AM	
7	820	686	30	02/19/25 10:32:00 AM	
8	840	677	30	02/19/25 10:32:30 AM	
9	860	746	30	02/19/25 10:33:01 AM	
10	880	740	30	02/19/25 10:33:31 AM	
11	900	766	30	02/19/25 10:34:01 AM	
12	920	747	30	02/19/25 10:34:32 AM	
13	940	732	30	02/19/25 10:35:02 AM	
14	960	745	30	02/19/25 10:35:33 AM	
15	980	791	30	02/19/25 10:36:03 AM	
16	1000	705	30	02/19/25 10:36:33 AM	
17	1020	802	30	02/19/25 10:37:04 AM	
18	1040	782	30	02/19/25 10:37:34 AM	
19	1060	762	30	02/19/25 10:38:04 AM	
20	1080	872	30	02/19/25 10:38:35 AM	
21	1100	923	30	02/19/25 10:39:05 AM	
22	1120	811	30	02/19/25 10:39:35 AM	
23	1140	795	30	02/19/25 10:40:06 AM	
24	1160	899	30	02/19/25 10:40:36 AM	
25	1180	840	30	02/19/25 10:41:07 AM	
26	1200	852	30	02/19/25 10:41:37 AM	
