Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	4	5	02/24/25 09:54:48 AM	
2	900	4	5	02/24/25 09:54:54 AM	
3	900	3	5	02/24/25 09:54:59 AM	
4	900	9	5	02/24/25 09:55:04 AM	
5	900	5	5	02/24/25 09:55:09 AM	
6	900	3	5	02/24/25 09:55:14 AM	
7	900	2	5	02/24/25 09:55:20 AM	
8	900	4	5	02/24/25 09:55:25 AM	
9	900	4	5	02/24/25 09:55:30 AM	
10	900	5	5	02/24/25 09:55:35 AM	
11	900	6	5	02/24/25 09:55:40 AM	
12	900	5	5	02/24/25 09:55:46 AM	
13	900	4	5	02/24/25 09:55:51 AM	
14	900	4	5	02/24/25 09:55:56 AM	
15	900	6	5	02/24/25 09:56:01 AM	
16	900	6	5	02/24/25 09:56:06 AM	
17	900	5	5	02/24/25 09:56:12 AM	
18	900	10	5	02/24/25 09:56:17 AM	
19	900	1	5	02/24/25 09:56:22 AM	
20	900	3	5	02/24/25 09:56:27 AM	
21	900	6	5	02/24/25 09:56:32 AM	
22	900	4	5	02/24/25 09:56:38 AM	
23	900	4	5	02/24/25 09:56:43 AM	
24	900	4	5	02/24/25 09:56:48 AM	
25	900	6	5	02/24/25 09:56:53 AM	
26	900	7	5	02/24/25 09:56:58 AM	
27	900	5	5	02/24/25 09:57:03 AM	
28	900	5	5	02/24/25 09:57:09 AM	
29	900	1	5	02/24/25 09:57:14 AM	
30	900	7	5	02/24/25 09:57:19 AM	
31	900	4	5	02/24/25 09:57:24 AM	
32	900	5	5	02/24/25 09:57:30 AM	
33	900	3	5	02/24/25 09:57:35 AM	
34	900	5	5	02/24/25 09:57:40 AM	
35	900	10	5	02/24/25 09:57:45 AM	
36	900	8	5	02/24/25 09:57:50 AM	
37	900	4	5	02/24/25 09:57:55 AM	
38	900	4	5	02/24/25 09:58:00 AM	
39	900	3	5	02/24/25 09:58:06 AM	
40	900	4	5	02/24/25 09:58:11 AM	
41	900	5	5	02/24/25 09:58:16 AM	
42	900	6	5	02/24/25 09:58:21 AM	
43	900	1	5	02/24/25 09:58:27 AM	
44	900	6	5	02/24/25 09:58:32 AM	
45	900	2	5	02/24/25 09:58:37 AM	
46	900	3	5	02/24/25 09:58:42 AM	
47	900	2	5	02/24/25 09:58:47 AM	
48	900	4	5	02/24/25 09:58:53 AM	
49	900	2	5	02/24/25 09:58:58 AM	
50	900	5	5	02/24/25 09:59:03 AM	
51	900	9	5	02/24/25 09:59:08 AM	
52	900	2	5	02/24/25 09:59:13 AM	
53	900	4	5	02/24/25 09:59:19 AM	
54	900	4	5	02/24/25 09:59:24 AM	
55	900	8	5	02/24/25 09:59:29 AM	
56	900	5	5	02/24/25 09:59:34 AM	
57	900	4	5	02/24/25 09:59:39 AM	
58	900	4	5	02/24/25 09:59:45 AM	
59	900	7	5	02/24/25 09:59:50 AM	
60	900	4	5	02/24/25 09:59:55 AM	
61	900	2	5	02/24/25 10:00:00 AM	
62	900	7	5	02/24/25 10:00:05 AM	
63	900	5	5	02/24/25 10:00:11 AM	
64	900	8	5	02/24/25 10:00:16 AM	
65	900	6	5	02/24/25 10:00:21 AM	
66	900	4	5	02/24/25 10:00:26 AM	
67	900	3	5	02/24/25 10:00:32 AM	
68	900	9	5	02/24/25 10:00:37 AM	
69	900	4	5	02/24/25 10:00:42 AM	
70	900	4	5	02/24/25 10:00:47 AM	
71	900	9	5	02/24/25 10:00:52 AM	
72	900	6	5	02/24/25 10:00:58 AM	
73	900	6	5	02/24/25 10:01:03 AM	
74	900	3	5	02/24/25 10:01:08 AM	
75	900	5	5	02/24/25 10:01:13 AM	
76	900	3	5	02/24/25 10:01:18 AM	
77	900	3	5	02/24/25 10:01:23 AM	
78	900	8	5	02/24/25 10:01:29 AM	
79	900	4	5	02/24/25 10:01:34 AM	
80	900	4	5	02/24/25 10:01:39 AM	
81	900	5	5	02/24/25 10:01:44 AM	
82	900	9	5	02/24/25 10:01:49 AM	
83	900	6	5	02/24/25 10:01:54 AM	
84	900	6	5	02/24/25 10:02:00 AM	
85	900	7	5	02/24/25 10:02:05 AM	
86	900	5	5	02/24/25 10:02:10 AM	
87	900	7	5	02/24/25 10:02:15 AM	
88	900	7	5	02/24/25 10:02:20 AM	
89	900	6	5	02/24/25 10:02:26 AM	
90	900	5	5	02/24/25 10:02:31 AM	
91	900	5	5	02/24/25 10:02:36 AM	
92	900	3	5	02/24/25 10:02:41 AM	
93	900	4	5	02/24/25 10:02:46 AM	
94	900	6	5	02/24/25 10:02:52 AM	
95	900	4	5	02/24/25 10:02:57 AM	
