Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	5	5	02/24/25 09:39:15 AM	
2	900	6	5	02/24/25 09:39:20 AM	
3	900	3	5	02/24/25 09:39:25 AM	
4	900	5	5	02/24/25 09:39:31 AM	
5	900	4	5	02/24/25 09:39:36 AM	
6	900	5	5	02/24/25 09:39:41 AM	
7	900	2	5	02/24/25 09:39:46 AM	
8	900	3	5	02/24/25 09:39:51 AM	
9	900	4	5	02/24/25 09:39:56 AM	
10	900	6	5	02/24/25 09:40:02 AM	
11	900	2	5	02/24/25 09:40:07 AM	
12	900	5	5	02/24/25 09:40:12 AM	
13	900	3	5	02/24/25 09:40:17 AM	
14	900	4	5	02/24/25 09:40:23 AM	
15	900	2	5	02/24/25 09:40:28 AM	
16	900	5	5	02/24/25 09:40:33 AM	
17	900	4	5	02/24/25 09:40:38 AM	
18	900	5	5	02/24/25 09:40:43 AM	
19	900	4	5	02/24/25 09:40:48 AM	
20	900	6	5	02/24/25 09:40:54 AM	
21	900	3	5	02/24/25 09:40:59 AM	
22	900	5	5	02/24/25 09:41:04 AM	
23	900	5	5	02/24/25 09:41:09 AM	
24	900	8	5	02/24/25 09:41:14 AM	
25	900	5	5	02/24/25 09:41:20 AM	
26	900	8	5	02/24/25 09:41:25 AM	
27	900	11	5	02/24/25 09:41:30 AM	
28	900	7	5	02/24/25 09:41:35 AM	
29	900	6	5	02/24/25 09:41:40 AM	
30	900	6	5	02/24/25 09:41:46 AM	
31	900	6	5	02/24/25 09:41:51 AM	
32	900	6	5	02/24/25 09:41:56 AM	
33	900	4	5	02/24/25 09:42:01 AM	
34	900	4	5	02/24/25 09:42:06 AM	
35	900	7	5	02/24/25 09:42:12 AM	
36	900	3	5	02/24/25 09:42:17 AM	
37	900	4	5	02/24/25 09:42:22 AM	
38	900	2	5	02/24/25 09:42:27 AM	
39	900	4	5	02/24/25 09:42:32 AM	
40	900	7	5	02/24/25 09:42:37 AM	
41	900	3	5	02/24/25 09:42:43 AM	
42	900	6	5	02/24/25 09:42:48 AM	
43	900	2	5	02/24/25 09:42:53 AM	
44	900	9	5	02/24/25 09:42:58 AM	
45	900	6	5	02/24/25 09:43:03 AM	
46	900	1	5	02/24/25 09:43:09 AM	
47	900	8	5	02/24/25 09:43:14 AM	
48	900	5	5	02/24/25 09:43:19 AM	
49	900	4	5	02/24/25 09:43:24 AM	
50	900	5	5	02/24/25 09:43:29 AM	
51	900	3	5	02/24/25 09:43:35 AM	
52	900	5	5	02/24/25 09:43:40 AM	
53	900	7	5	02/24/25 09:43:45 AM	
54	900	0	5	02/24/25 09:43:50 AM	
55	900	4	5	02/24/25 09:43:55 AM	
56	900	4	5	02/24/25 09:44:00 AM	
57	900	7	5	02/24/25 09:44:06 AM	
58	900	3	5	02/24/25 09:44:11 AM	
59	900	8	5	02/24/25 09:44:16 AM	
60	900	5	5	02/24/25 09:44:21 AM	
61	900	6	5	02/24/25 09:44:26 AM	
62	900	6	5	02/24/25 09:44:32 AM	
63	900	4	5	02/24/25 09:44:37 AM	
64	900	7	5	02/24/25 09:44:42 AM	
65	900	5	5	02/24/25 09:44:47 AM	
66	900	7	5	02/24/25 09:44:52 AM	
67	900	3	5	02/24/25 09:44:58 AM	
68	900	5	5	02/24/25 09:45:03 AM	
69	900	5	5	02/24/25 09:45:08 AM	
70	900	7	5	02/24/25 09:45:13 AM	
71	900	3	5	02/24/25 09:45:18 AM	
72	900	3	5	02/24/25 09:45:24 AM	
73	900	4	5	02/24/25 09:45:29 AM	
74	900	6	5	02/24/25 09:45:34 AM	
75	900	6	5	02/24/25 09:45:39 AM	
76	900	7	5	02/24/25 09:45:45 AM	
77	900	7	5	02/24/25 09:45:50 AM	
78	900	5	5	02/24/25 09:45:55 AM	
79	900	5	5	02/24/25 09:46:00 AM	
80	900	4	5	02/24/25 09:46:05 AM	
81	900	7	5	02/24/25 09:46:10 AM	
82	900	2	5	02/24/25 09:46:16 AM	
83	900	5	5	02/24/25 09:46:21 AM	
84	900	4	5	02/24/25 09:46:26 AM	
85	900	2	5	02/24/25 09:46:31 AM	
86	900	3	5	02/24/25 09:46:37 AM	
87	900	7	5	02/24/25 09:46:42 AM	
88	900	8	5	02/24/25 09:46:47 AM	
89	900	10	5	02/24/25 09:46:52 AM	
90	900	4	5	02/24/25 09:46:58 AM	
91	900	4	5	02/24/25 09:47:03 AM	
92	900	5	5	02/24/25 09:47:08 AM	
93	900	4	5	02/24/25 09:47:13 AM	
94	900	9	5	02/24/25 09:47:18 AM	
95	900	6	5	02/24/25 09:47:24 AM	
96	900	5	5	02/24/25 09:47:29 AM	
97	900	5	5	02/24/25 09:47:34 AM	
98	900	5	5	02/24/25 09:47:39 AM	
99	900	8	5	02/24/25 09:47:44 AM	
100	900	3	5	02/24/25 09:47:50 AM	
101	900	9	5	02/24/25 09:47:55 AM	
102	900	2	5	02/24/25 09:48:00 AM	
103	900	2	5	02/24/25 09:48:05 AM	
104	900	6	5	02/24/25 09:48:10 AM	
105	900	8	5	02/24/25 09:48:16 AM	
106	900	3	5	02/24/25 09:48:21 AM	
107	900	4	5	02/24/25 09:48:26 AM	
108	900	5	5	02/24/25 09:48:31 AM	
109	900	6	5	02/24/25 09:48:36 AM	
110	900	2	5	02/24/25 09:48:42 AM	
111	900	5	5	02/24/25 09:48:47 AM	
112	900	3	5	02/24/25 09:48:52 AM	
113	900	5	5	02/24/25 09:48:57 AM	
114	900	7	5	02/24/25 09:49:02 AM	
115	900	6	5	02/24/25 09:49:08 AM	
116	900	8	5	02/24/25 09:49:13 AM	
117	900	9	5	02/24/25 09:49:18 AM	
118	900	4	5	02/24/25 09:49:23 AM	
119	900	4	5	02/24/25 09:49:29 AM	
120	900	9	5	02/24/25 09:49:34 AM	
121	900	5	5	02/24/25 09:49:39 AM	
122	900	6	5	02/24/25 09:49:44 AM	
123	900	5	5	02/24/25 09:49:49 AM	
124	900	3	5	02/24/25 09:49:55 AM	
125	900	6	5	02/24/25 09:50:00 AM	
126	900	2	5	02/24/25 09:50:05 AM	
127	900	6	5	02/24/25 09:50:10 AM	
128	900	3	5	02/24/25 09:50:15 AM	
129	900	6	5	02/24/25 09:50:21 AM	
130	900	5	5	02/24/25 09:50:26 AM	
131	900	8	5	02/24/25 09:50:31 AM	
132	900	8	5	02/24/25 09:50:36 AM	
133	900	13	5	02/24/25 09:50:41 AM	
134	900	6	5	02/24/25 09:50:46 AM	
135	900	8	5	02/24/25 09:50:52 AM	
136	900	5	5	02/24/25 09:50:57 AM	
137	900	7	5	02/24/25 09:51:02 AM	
138	900	4	5	02/24/25 09:51:07 AM	
139	900	6	5	02/24/25 09:51:12 AM	
140	900	4	5	02/24/25 09:51:18 AM	
141	900	5	5	02/24/25 09:51:23 AM	
142	900	5	5	02/24/25 09:51:28 AM	
143	900	5	5	02/24/25 09:51:33 AM	
144	900	6	5	02/24/25 09:51:38 AM	
145	900	6	5	02/24/25 09:51:44 AM	
146	900	5	5	02/24/25 09:51:49 AM	
147	900	2	5	02/24/25 09:51:54 AM	
148	900	11	5	02/24/25 09:51:59 AM	
149	900	3	5	02/24/25 09:52:04 AM	
150	900	4	5	02/24/25 09:52:09 AM	
